real,imag,label
echo_real_1.png,echo_imag_1.png,label_1.png
echo_real_2.png,echo_imag_2.png,label_2.png
echo_real_3.png,echo_imag_3.png,label_3.png
echo_real_4.png,echo_imag_4.png,label_4.png
echo_real_5.png,echo_imag_5.png,label_5.png
echo_real_6.png,echo_imag_6.png,label_6.png
echo_real_7.png,echo_imag_7.png,label_7.png
echo_real_8.png,echo_imag_8.png,label_8.png
echo_real_9.png,echo_imag_9.png,label_9.png
echo_real_10.png,echo_imag_10.png,label_10.png
echo_real_11.png,echo_imag_11.png,label_11.png
echo_real_12.png,echo_imag_12.png,label_12.png
echo_real_13.png,echo_imag_13.png,label_13.png
echo_real_14.png,echo_imag_14.png,label_14.png
echo_real_15.png,echo_imag_15.png,label_15.png
echo_real_16.png,echo_imag_16.png,label_16.png
echo_real_17.png,echo_imag_17.png,label_17.png
echo_real_18.png,echo_imag_18.png,label_18.png
echo_real_19.png,echo_imag_19.png,label_19.png
echo_real_20.png,echo_imag_20.png,label_20.png
echo_real_21.png,echo_imag_21.png,label_21.png
echo_real_22.png,echo_imag_22.png,label_22.png
echo_real_23.png,echo_imag_23.png,label_23.png
echo_real_24.png,echo_imag_24.png,label_24.png
echo_real_25.png,echo_imag_25.png,label_25.png
echo_real_26.png,echo_imag_26.png,label_26.png
echo_real_27.png,echo_imag_27.png,label_27.png
echo_real_28.png,echo_imag_28.png,label_28.png
echo_real_29.png,echo_imag_29.png,label_29.png
echo_real_30.png,echo_imag_30.png,label_30.png
echo_real_31.png,echo_imag_31.png,label_31.png
echo_real_32.png,echo_imag_32.png,label_32.png
echo_real_33.png,echo_imag_33.png,label_33.png
echo_real_34.png,echo_imag_34.png,label_34.png
echo_real_35.png,echo_imag_35.png,label_35.png
echo_real_36.png,echo_imag_36.png,label_36.png
echo_real_37.png,echo_imag_37.png,label_37.png
echo_real_38.png,echo_imag_38.png,label_38.png
echo_real_39.png,echo_imag_39.png,label_39.png
echo_real_40.png,echo_imag_40.png,label_40.png
echo_real_41.png,echo_imag_41.png,label_41.png
echo_real_42.png,echo_imag_42.png,label_42.png
echo_real_43.png,echo_imag_43.png,label_43.png
echo_real_44.png,echo_imag_44.png,label_44.png
echo_real_45.png,echo_imag_45.png,label_45.png
echo_real_46.png,echo_imag_46.png,label_46.png
echo_real_47.png,echo_imag_47.png,label_47.png
echo_real_48.png,echo_imag_48.png,label_48.png
echo_real_49.png,echo_imag_49.png,label_49.png
echo_real_50.png,echo_imag_50.png,label_50.png
echo_real_51.png,echo_imag_51.png,label_51.png
echo_real_52.png,echo_imag_52.png,label_52.png
echo_real_53.png,echo_imag_53.png,label_53.png
echo_real_54.png,echo_imag_54.png,label_54.png
echo_real_55.png,echo_imag_55.png,label_55.png
echo_real_56.png,echo_imag_56.png,label_56.png
echo_real_57.png,echo_imag_57.png,label_57.png
echo_real_58.png,echo_imag_58.png,label_58.png
echo_real_59.png,echo_imag_59.png,label_59.png
echo_real_60.png,echo_imag_60.png,label_60.png
echo_real_61.png,echo_imag_61.png,label_61.png
echo_real_62.png,echo_imag_62.png,label_62.png
echo_real_63.png,echo_imag_63.png,label_63.png
echo_real_64.png,echo_imag_64.png,label_64.png
echo_real_65.png,echo_imag_65.png,label_65.png
echo_real_66.png,echo_imag_66.png,label_66.png
echo_real_67.png,echo_imag_67.png,label_67.png
echo_real_68.png,echo_imag_68.png,label_68.png
echo_real_69.png,echo_imag_69.png,label_69.png
echo_real_70.png,echo_imag_70.png,label_70.png
echo_real_71.png,echo_imag_71.png,label_71.png
echo_real_72.png,echo_imag_72.png,label_72.png
echo_real_73.png,echo_imag_73.png,label_73.png
echo_real_74.png,echo_imag_74.png,label_74.png
echo_real_75.png,echo_imag_75.png,label_75.png
echo_real_76.png,echo_imag_76.png,label_76.png
echo_real_77.png,echo_imag_77.png,label_77.png
echo_real_78.png,echo_imag_78.png,label_78.png
echo_real_79.png,echo_imag_79.png,label_79.png
echo_real_80.png,echo_imag_80.png,label_80.png
echo_real_81.png,echo_imag_81.png,label_81.png
echo_real_82.png,echo_imag_82.png,label_82.png
echo_real_83.png,echo_imag_83.png,label_83.png
echo_real_84.png,echo_imag_84.png,label_84.png
echo_real_85.png,echo_imag_85.png,label_85.png
echo_real_86.png,echo_imag_86.png,label_86.png
echo_real_87.png,echo_imag_87.png,label_87.png
echo_real_88.png,echo_imag_88.png,label_88.png
echo_real_89.png,echo_imag_89.png,label_89.png
echo_real_90.png,echo_imag_90.png,label_90.png
echo_real_91.png,echo_imag_91.png,label_91.png
echo_real_92.png,echo_imag_92.png,label_92.png
echo_real_93.png,echo_imag_93.png,label_93.png
echo_real_94.png,echo_imag_94.png,label_94.png
echo_real_95.png,echo_imag_95.png,label_95.png
echo_real_96.png,echo_imag_96.png,label_96.png
echo_real_97.png,echo_imag_97.png,label_97.png
echo_real_98.png,echo_imag_98.png,label_98.png
echo_real_99.png,echo_imag_99.png,label_99.png
echo_real_100.png,echo_imag_100.png,label_100.png
echo_real_101.png,echo_imag_101.png,label_101.png
echo_real_102.png,echo_imag_102.png,label_102.png
echo_real_103.png,echo_imag_103.png,label_103.png
echo_real_104.png,echo_imag_104.png,label_104.png
echo_real_105.png,echo_imag_105.png,label_105.png
echo_real_106.png,echo_imag_106.png,label_106.png
